simulation 0,105
simulation 1,115
simulation 1,104
simulation 1,78
simulation 0,216
simulation 1,70
simulation 2,80
simulation 0,66
simulation 2,72
simulation 1,81
simulation 1,104
simulation 2,31
simulation 2,46
simulation 0,52
simulation 2,63
simulation 0,55
simulation 1,75
simulation 2,112
simulation 2,81
simulation 0,27
simulation 2,96
simulation 0,70
simulation 1,158
simulation 1,143
simulation 1,98
simulation 0,162
simulation 0,40
simulation 1,38
simulation 0,219
simulation 2,56
simulation 1,86
simulation 0,40
simulation 1,60
simulation 0,77
simulation 1,42
simulation 0,86
simulation 1,102
simulation 0,34
simulation 0,120
simulation 1,42
simulation 1,132
simulation 0,80
simulation 1,168
simulation 2,80
simulation 1,48
simulation 0,97
simulation 2,54
simulation 1,129
simulation 2,80
simulation 1,82
simulation 2,92
simulation 1,71
simulation 0,168
simulation 1,100
simulation 1,49
simulation 1,73
simulation 0,62
simulation 0,145
simulation 2,172
simulation 0,94
simulation 0,54
simulation 0,42
simulation 1,143
simulation 0,196
simulation 2,120
simulation 1,29
simulation 0,128
simulation 2,41
simulation 2,94
simulation 2,158
simulation 2,165
simulation 1,78
simulation 0,90
simulation 2,116
simulation 2,146
simulation 2,111
simulation 0,72
simulation 1,47
simulation 2,37
simulation 1,80
simulation 0,152
simulation 0,70
simulation 2,111
simulation 2,79
simulation 2,59
simulation 1,45
simulation 1,112
simulation 1,48
simulation 0,47
simulation 0,138
simulation 0,72
simulation 2,160
simulation 0,116
simulation 0,96
simulation 2,93
simulation 0,103
simulation 1,86
simulation 0,123
simulation 0,66
simulation 2,74
simulation 1,87
simulation 1,99
simulation 2,190
simulation 2,96
simulation 0,135
simulation 1,49
simulation 1,57
simulation 0,95
simulation 0,117
simulation 2,77
simulation 1,47
simulation 0,49
simulation 1,37
simulation 0,95
simulation 2,83
simulation 1,66
simulation 2,157
simulation 1,98
simulation 2,64
simulation 2,70
simulation 2,62
simulation 1,112
simulation 2,79
simulation 1,118
simulation 1,142
simulation 2,34
simulation 0,202
simulation 2,79
simulation 2,123
simulation 1,44
simulation 2,129
simulation 2,100
simulation 0,83
simulation 2,114
simulation 1,89
simulation 0,84
simulation 1,102
simulation 1,76
simulation 1,75
simulation 1,97
simulation 1,112
simulation 2,71
simulation 1,125
simulation 0,102
simulation 1,84
simulation 2,80
simulation 2,184
simulation 2,42
simulation 0,162
simulation 1,60
simulation 2,72
simulation 0,84
simulation 1,44
simulation 2,87
simulation 2,105
simulation 0,84
simulation 1,63
simulation 0,80
simulation 1,52
simulation 2,77
simulation 1,88
simulation 0,91
simulation 1,63
simulation 0,53
simulation 1,76
simulation 0,51
simulation 2,74
simulation 0,120
simulation 2,116
simulation 0,52
simulation 0,122
simulation 2,84
simulation 2,73
simulation 1,131
simulation 2,73
simulation 2,146
simulation 0,94
simulation 0,104
simulation 0,81
simulation 2,73
simulation 0,110
simulation 1,116
simulation 2,91
simulation 1,81
simulation 0,107
simulation 2,52
simulation 0,62
simulation 0,102
simulation 2,114
simulation 2,98
simulation 1,39
simulation 2,71
simulation 0,62
simulation 2,135
simulation 0,141
simulation 2,104
simulation 1,91
simulation 0,33
simulation 0,91
simulation 2,93
simulation 0,124
simulation 0,113
simulation 2,23
simulation 0,74
simulation 0,85
simulation 0,70
simulation 0,43
simulation 1,92
simulation 2,148
simulation 0,96
simulation 1,55
simulation 0,70
simulation 2,148
simulation 0,88
simulation 0,100
simulation 1,84
simulation 0,107
simulation 1,45
simulation 0,75
simulation 0,65
simulation 2,68
simulation 1,82
simulation 2,118
simulation 1,72
simulation 0,73
simulation 1,77
simulation 0,81
simulation 1,56
simulation 1,53
simulation 1,109
simulation 0,53
simulation 1,84
simulation 0,102
simulation 1,59
simulation 0,133
simulation 0,126
simulation 0,105
simulation 0,59
simulation 2,75
simulation 1,88
simulation 2,88
simulation 1,72
simulation 1,84
simulation 2,141
simulation 2,50
simulation 1,80
simulation 0,61
simulation 1,46
simulation 2,97
simulation 0,136
simulation 0,49
simulation 2,134
simulation 2,154
simulation 1,105
simulation 2,41
simulation 2,110
simulation 1,150
simulation 2,39
simulation 2,87
simulation 0,113
simulation 0,119
simulation 0,156
simulation 0,70
simulation 0,49
simulation 0,151
simulation 2,43
simulation 0,121
simulation 0,67
simulation 2,106
simulation 0,137
simulation 1,78
simulation 0,43
simulation 0,63
simulation 0,97
simulation 0,80
simulation 1,90
simulation 1,97
simulation 0,70
simulation 2,39
simulation 2,133
simulation 0,85
simulation 1,99
simulation 1,70
simulation 2,56
simulation 0,69
simulation 1,129
simulation 0,122
simulation 1,88
simulation 1,143
simulation 0,93
simulation 2,78
simulation 2,91
simulation 2,125
simulation 1,130
simulation 0,93
simulation 2,138
simulation 0,66
simulation 2,42
simulation 0,113
simulation 0,98
simulation 0,99
simulation 0,100
simulation 0,132
simulation 0,99
simulation 1,139
simulation 0,60
simulation 1,54
simulation 1,120
simulation 2,86
simulation 2,104
simulation 0,82
simulation 1,156
simulation 0,138
simulation 2,65
simulation 1,40
simulation 0,87
simulation 1,139
simulation 0,88
simulation 0,81
simulation 2,151
simulation 1,125
simulation 0,119
simulation 1,64
simulation 1,119
simulation 1,188
simulation 1,33
simulation 1,64
simulation 1,91
simulation 2,99
simulation 0,181
simulation 0,79
simulation 1,190
simulation 0,87
simulation 2,111
simulation 0,63
simulation 0,91
simulation 1,75
simulation 1,145
simulation 2,62
simulation 1,102
simulation 1,47
simulation 1,78
simulation 2,173
simulation 0,127
simulation 0,190
simulation 0,86
simulation 1,122
simulation 0,62
simulation 0,136
simulation 0,119
simulation 2,111
simulation 1,95
simulation 1,80
simulation 1,116
simulation 2,102
simulation 0,104
simulation 2,109
simulation 0,76
simulation 0,64
simulation 1,71
simulation 2,102
simulation 1,136
